2459945.500000000, A.D. 2023-Jan-01 00:00:00.0000,  9.805409507327435E-01, -6.810401492937621E-01, -4.221369057434580E-01, -4.858262432108755E-03,  1.281820811999005E-02,  2.233285924977469E-03,
2459946.500000000, A.D. 2023-Jan-02 00:00:00.0000,  9.756107076317260E-01, -6.681721768061288E-01, -4.198726330450714E-01, -5.002759676398963E-03,  1.291787335573332E-02,  2.295486660247177E-03,
2459947.500000000, A.D. 2023-Jan-03 00:00:00.0000,  9.705343376784411E-01, -6.552041274786750E-01, -4.175454688186511E-01, -5.150538274809393E-03,  1.301836388961203E-02,  2.359078313099131E-03,
2459948.500000000, A.D. 2023-Jan-04 00:00:00.0000,  9.653084918285596E-01, -6.421351698118601E-01, -4.151539936156835E-01, -5.301734902274581E-03,  1.311969205252244E-02,  2.424118488008881E-03,
2459949.500000000, A.D. 2023-Jan-05 00:00:00.0000,  9.599296803826893E-01, -6.289644602086296E-01, -4.126967287150543E-01, -5.456494292307656E-03,  1.322186969043254E-02,  2.490668166714814E-03,
2459950.500000000, A.D. 2023-Jan-06 00:00:00.0000,  9.543942646238356E-01, -6.156911435165745E-01, -4.101721326190078E-01, -5.614969854110914E-03,  1.332490804709838E-02,  2.558791965593337E-03,
2459951.500000000, A.D. 2023-Jan-07 00:00:00.0000,  9.486984478091804E-01, -6.023143536962473E-01, -4.075785972798474E-01, -5.777324347856737E-03,  1.342881762861305E-02,  2.628558417237244E-03,
2459952.500000000, A.D. 2023-Jan-08 00:00:00.0000,  9.428382654547898E-01, -5.888332146351568E-01, -4.049144440318325E-01, -5.943730624720992E-03,  1.353360804698792E-02,  2.700040278958071E-03,
2459953.500000000, A.D. 2023-Jan-09 00:00:00.0000,  9.368095748448443E-01, -5.752468411300165E-01, -4.021779191998481E-01, -6.114372439114325E-03,  1.363928783947105E-02,  2.773314871286699E-03,
2459954.500000000, A.D. 2023-Jan-10 00:00:00.0000,  9.306080436890687E-01, -5.615543400633950E-01, -3.993671893531425E-01, -6.289445341557210E-03,  1.374586425972665E-02,  2.848464449952405E-03,
2459955.500000000, A.D. 2023-Jan-11 00:00:00.0000,  9.242291378430277E-01, -5.477548118051280E-01, -3.964803361687246E-01, -6.469157661768811E-03,  1.385334303630618E-02,  2.925576615284734E-03,
2459956.500000000, A.D. 2023-Jan-12 00:00:00.0000,  9.176681079957506E-01, -5.338473518738149E-01, -3.935153508648043E-01, -6.653731592851374E-03,  1.396172809303484E-02,  3.004744763521478E-03,
2459957.500000000, A.D. 2023-Jan-13 00:00:00.0000,  9.109199752175304E-01, -5.198310528995757E-01, -3.904701281598735E-01, -6.843404388960127E-03,  1.407102122495997E-02,  3.086068585126484E-03,
2459958.500000000, A.D. 2023-Jan-14 00:00:00.0000,  9.039795152475024E-01, -5.057050069361448E-01, -3.873424597075711E-01, -7.038429690591276E-03,  1.418122172236657E-02,  3.169654615940801E-03,
2459959.500000000, A.D. 2023-Jan-15 00:00:00.0000,  8.968412413854775E-01, -4.914683081785532E-01, -3.841300269512429E-01, -7.239078993668434E-03,  1.429232593398241E-02,  3.255616847828490E-03,
2459960.500000000, A.D. 2023-Jan-16 00:00:00.0000,  8.894993858351686E-01, -4.771200561523242E-01, -3.808303933349712E-01, -7.445643280978015E-03,  1.440432675883143E-02,  3.344077406453808E-03,
2459961.500000000, A.D. 2023-Jan-17 00:00:00.0000,  8.819478793260466E-01, -4.626593594516193E-01, -3.774409957996581E-01, -7.658434837288257E-03,  1.451721305420103E-02,  3.435167304963759E-03,
2459962.500000000, A.D. 2023-Jan-18 00:00:00.0000,  8.741803288181363E-01, -4.480853401174854E-01, -3.739591354833221E-01, -7.877789272747987E-03,  1.463096894475058E-02,  3.529027283684241E-03,
2459963.500000000, A.D. 2023-Jan-19 00:00:00.0000,  8.661899930676104E-01, -4.333971387637513E-01, -3.703819675339033E-01, -8.104067782983801E-03,  1.474557301483983E-02,  3.625808747499085E-03,
2459964.500000000, A.D. 2023-Jan-20 00:00:00.0000,  8.579697558004213E-01, -4.185939205777850E-01, -3.667064899303031E-01, -8.337659678827861E-03,  1.486099736254663E-02,  3.725674814421124E-03,
2459965.500000000, A.D. 2023-Jan-21 00:00:00.0000,  8.495120962057032E-01, -4.036748823469908E-01, -3.629295311928251E-01, -8.578985223920805E-03,  1.497720648943143E-02,  3.828801491030035E-03,
2459966.500000000, A.D. 2023-Jan-22 00:00:00.0000,  8.408090564193635E-01, -3.886392606904825E-01, -3.590477368472661E-01, -8.828498824731185E-03,  1.509415599467591E-02,  3.935378993014277E-03,
2459967.500000000, A.D. 2023-Jan-23 00:00:00.0000,  8.318522056201260E-01, -3.734863417099722E-01, -3.550575544871891E-01, -9.086692624998038E-03,  1.521179103553156E-02,  4.045613232089618E-03,
2459968.500000000, A.D. 2023-Jan-24 00:00:00.0000,  8.226326003039593E-01, -3.582154723159773E-01, -3.509552172558903E-01, -9.354100565487539E-03,  1.533004450772095E-02,  4.159727494174765E-03,
2459969.500000000, A.D. 2023-Jan-25 00:00:00.0000,  8.131407402367989E-01, -3.428260735367683E-01, -3.467367255426046E-01, -9.631302980557076E-03,  1.544883488912222E-02,  4.277964338003463E-03,
2459970.500000000, A.D. 2023-Jan-26 00:00:00.0000,  8.033665195078157E-01, -3.273176561803537E-01, -3.423978266558209E-01, -9.918931815705870E-03,  1.556806367718581E-02,  4.400587748488873E-03,
2459971.500000000, A.D. 2023-Jan-27 00:00:00.0000,  7.932991720139346E-01, -3.116898392971203E-01, -3.379339921992818E-01, -1.021767656551898E-02,  1.568761233436722E-02,  4.527885585310394E-03,
2459972.500000000, A.D. 2023-Jan-28 00:00:00.0000,  7.829272105980146E-01, -2.959423719862594E-01, -3.333403928321881E-01, -1.052829104973883E-02,  1.580733863547679E-02,  4.660172374586636E-03,
